Title,Detail URL,Location,Bedrooms,Bathrooms,House Size,Price,Property Type,Listing Date,Amenities
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-lavington-116908390,Lavington,3,4,781 m²,KSh 30 000 000,Apartment / Flat,10-Feb-26,"State-of-the-art security systems, including 24/7 surveillance for peace of mind, Fully equipped gym for convenient, on-site workouts, Swimming pool ideal for relaxation and recreation, Children’s play area, providing a safe space for family fun, Rooftop lounge deck for leisure and entertaining with panoramic views, Prime Location Advantages:, Situated in an exclusive and serene Lavington neighborhood, Close to top schools, shopping centers, hospitals, and recreational facilities, Easy access to major roads and transport routes, combining privacy with convenience"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-mirema-116942180,Mirema,1,1,74 m²,KSh 5 200 000,Apartment / Flat,19-Feb-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116930324,Westlands,3,3,160 m²,KSh 24 400 000,Apartment / Flat,16-Feb-26,"Heated indoor & outdoor swimming pools, Fully equipped modern gym & yoga studio, Cinema room for residents, Children’s indoor & outdoor playgrounds, Coffee bar, lounge & recreation club, Co-working / reading spaces, 1.7-acre shopping mall within the development, Borehole water + purification system, Full backup generator, High-speed lifts, 24/7 security with CCTV surveillance, Prime Location Advantages, Living at A-One Pandora places you minutes away from:, Sarit Centre & Westgate Mall, Top international schools, Leading hospitals & medical centres, Restaurants, cafés & nightlife hubs, Easy access to CBD, Riverside & Parklands, ? Perfect for:, Airbnb investment, Families seeking modern gated living, Buyers targeting strong property appreciation"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116898781,Westlands,1,1,67 m²,KSh 9 000 000,Apartment / Flat,08-Feb-26,"Kids Play Area, High-Speed Lifts, Fully Equipped Gym, Swimming Pool, Power Back-up Generator, CCTV Surveillance"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116948737,Kilimani,2,2,110 m²,KSh 10 700 000,Apartment / Flat,20-Feb-26,"Fully equipped gym, Swimming pool, High-speed lifts, Backup generator for common areas, Borehole & reliable water supply, Children’s play area, CCTV surveillance & 24/7 security, • Yaya Centre, • Prestige Plaza, • International schools, • Hospitals & medical centres, • Restaurants, cafés & lifestyle hubs, ?? Schedule Your Viewing Today"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kileleshwa-116898126,Kileleshwa,3,3,136 m²,KSh 12 500 000,Apartment / Flat,08-Feb-26,"Fully equipped gym, Swimming pool, Children’s play zone, High-speed lifts, 24/7 CCTV surveillance & electric fencing, Visual intercom system, Backup generator, Borehole & large water storage, Prime Location & Accessibility, The project is conveniently located in Kileleshwa, providing easy access to:, Shopping: Lavington Mall (5 min), Yaya Centre (5 min), Schools: Cavina School, Light Academy, French School, Close to Total Petrol Station, Kileleshwa, Why Choose this project?, Modern architecture with luxury finishes, Prime Kileleshwa location close to malls, schools, and medical centers"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116897914,Kileleshwa,1,1,65 m²,KSh 6 900 000,Apartment / Flat,07-Feb-26,"Modern Living: Spacious apartments designed for ultimate comfort and style., Security and Convenience: Advanced security features and reliable utilities."
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116930270,Westlands,1,1,56 m²,KSh 6 800 000,Apartment / Flat,16-Feb-26,"Rooftop infinity swimming pool & leisure deck, Fully equipped modern gym & wellness centre, Sky lounge and rooftop café, Co-working/business lounge spaces, Grand double-height entrance lobby, High-speed lifts, 24/7 security with CCTV surveillance, Prime Location Benefits, Living at Luminara places you minutes away from:, Major shopping malls & supermarkets, International schools & universities, Top hospitals & medical centres, Restaurants, cafés & entertainment hubs, Easy access to CBD, Riverside & Parklands, Perfect for:, Young professionals & expatriates, Airbnb investment opportunity"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116883724,Kileleshwa,2,2,111 m²,KSh 10 400 000,Apartment / Flat,04-Feb-26,"58 sqm — KSh 5.8M, 64 sqm — KSh 6.3M, 66 sqm — KSh 6.5M, 82 sqm — KSh 8.2M, 111 sqm — KSh 10.4M, 119 sqm — KSh 11.2M, 128 sqm — KSh 12.5M, 135 sqm — KSh 12.7M, 136 sqm — KSh 12.8M, Infinity swimming pool, Fully equipped gym & yoga studio, Kids play area, Coffee bar &, Massage & wellness room, Borehole & full backup generator, Prime Kileleshwa location, High rental demand & excellent ROI, Spacious layouts with elegant interiors, Peaceful, green surroundings with easy city access"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116948544,Kilimani,2,2,74 m²,KSh 7 600 000,Apartment / Flat,20-Feb-26,"Heated swimming pool, Fully equipped gym, High-speed lifts, Backup generator (common areas), Borehole + ample water storage, Children’s play area, 24/7 security with CCTV & access control, • Yaya Centre, • Prestige Plaza, • International schools, • Top hospitals, • Restaurants & cafés, Book Your Viewing Today"
4 Bedroom Townhouse,https://www.property24.co.ke/4-bedroom-townhouse-for-sale-in-peponi-116880307,Peponi,4,5,97 m²,KSh 85 000 000,Townhouse,03-Feb-26,"Asking Price: KSh 85,000,000"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116898729,Westlands,2,3,125 m²,KSh 13 900 000,Apartment / Flat,08-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116883781,Kileleshwa,1,1,58 m²,KSh 5 800 000,Apartment / Flat,04-Feb-26,"58 sqm — KSh 5.8M, 64 sqm — KSh 6.3M, 66 sqm — KSh 6.5M, 82 sqm — KSh 8.2M, 111 sqm — KSh 10.4M, 119 sqm — KSh 11.2M, 128 sqm — KSh 12.5M, 135 sqm — KSh 12.7M, 136 sqm — KSh 12.8M, Infinity swimming pool, Fully equipped gym & yoga studio, Kids play area, Coffee bar &, Massage & wellness room, Borehole & full backup generator, Prime Kileleshwa location, High rental demand & excellent ROI, Spacious layouts with elegant interiors, Peaceful, green surroundings with easy city access"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-syokimau-116926002,Syokimau,2,2,110 m²,KSh 8 000 000,Apartment / Flat,16-Feb-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116882242,Westlands,2,3,130 m²,KSh 14 450 000,Apartment / Flat,04-Feb-26,"Kids Play Area, High-Speed Lifts, Fully Equipped Gym, Swimming Pool, Power Back-up Generator, CCTV Surveillance"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116927421,Westlands,2,3,109 m²,KSh 14 000 000,Apartment / Flat,16-Feb-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116881257,Westlands,3,4.5,168 m²,KSh 21 800 000,Apartment / Flat,04-Feb-26,"Heated rooftop infinity pool with skyline & forest views, Aerial gym, yoga room & game room, Mini mart, café, rooftop bar, and lounge, Concierge, 24/7 CCTV surveillance & full backup generator, 10 high-speed elevators, Rooftop experiences, including mini golf, cinema, and padel court, Studios – 48 sqm, 1-Bedroom Units, 1-Bedroom + Study – 87 sqm, 2-Bedroom Units, 3-Bedroom + DSQ Units, Penthouses, Available on request"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116881266,Westlands,1,1,48 m²,KSh 6 200 000,Apartment / Flat,04-Feb-26,"Heated rooftop infinity pool with skyline & forest views, Aerial gym, yoga room & game room, Mini mart, café, rooftop bar, and lounge, Concierge, 24/7 CCTV surveillance & full backup generator, 10 high-speed elevators, Rooftop experiences, including mini golf, cinema, and padel court, Studios – 48 sqm, 1-Bedroom Units, 1-Bedroom + Study – 87 sqm, 2-Bedroom Units, 3-Bedroom + DSQ Units, Penthouses, Available on request"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116898107,Kileleshwa,2,2,119 m²,KSh 12 000 000,Apartment / Flat,08-Feb-26,"Modern Living: Spacious apartments designed for ultimate comfort and style., Security and Convenience: Advanced security features and reliable utilities."
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116870572,Westlands,2,3,130 m²,KSh 14 450 000,Apartment / Flat,02-Feb-26,"Kids Play Area, High-Speed Lifts, Fully Equipped Gym, Swimming Pool, Power Back-up Generator, CCTV Surveillance"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116941890,Westlands,2,2,100 m²,KSh 20 000 000,Apartment / Flat,19-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116868098,Westlands,1,1,67 m²,KSh 8 100 000,Apartment / Flat,31-Jan-26,"•	Fully Equipped Gym: Stay fit and healthy, •	Backup Generator: Uninterrupted power supply with our reliable backup generator., •	Shower Locker Room: Convenient and secure locker room facilities., •	Yoga Room: Enhance your well-being in our serene yoga room., •	Two Heated Swimming Pools, •	CCTV Surveillance: Experience peace of mind with 24/7 CCTV surveillance., •	Indoor Kid Play Area, •	Borehole Water Supply: Reliable water supply., •	Intercom system, •	Reception area, •	Indoor relaxing room, •	Outdoor relaxing area, •	Rooftop public BBQ area, •	Rooftop view restaurant, •	Electric fence, Seamlessly blends luxury, convenience, and an unbeatable location. Secure your unit today!, Completion Date: Q3 2027,"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116868099,Westlands,1,1,76 m²,KSh 9 000 000,Apartment / Flat,31-Jan-26,"•	Fully Equipped Gym: Stay fit and healthy, •	Backup Generator: Uninterrupted power supply with our reliable backup generator., •	Shower Locker Room: Convenient and secure locker room facilities., •	Yoga Room: Enhance your well-being in our serene yoga room., •	Two Heated Swimming Pools, •	CCTV Surveillance: Experience peace of mind with 24/7 CCTV surveillance., •	Indoor Kid Play Area, •	Borehole Water Supply: Reliable water supply., •	Intercom system, •	Reception area, •	Indoor relaxing room, •	Outdoor relaxing area, •	Rooftop public BBQ area, •	Rooftop view restaurant, •	Electric fence, Seamlessly blends luxury, convenience, and an unbeatable location. Secure your unit today!, Completion Date: Q3 2027,"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116859280,Westlands,1,1,58 m²,KSh 8 000 000,Apartment / Flat,29-Jan-26,"• Heated rooftop pool with panoramic city views, • State-of-the-art gym & wellness suite, • VR golf simulator & exclusive private cinema, • Residents’ lounge & professional business meeting spaces, • Trendy coffee shop & lounge bar, • Onsite mini mart & pharmacy for ultimate convenience, • Kids’ play area & indoor gaming zone, • Full power backup, borehole water supply, and high security, ?? Ideal for Living or Letting, ?? Book a Site Visit or Get More Info Now – +254 787 855 213"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116940720,Westlands,3,4,160 m²,KSh 24 400 000,Apartment / Flat,18-Feb-26,"Heated indoor & outdoor swimming pools, Fully equipped modern gym & yoga studio, Cinema room for residents, Children’s indoor & outdoor playgrounds, Coffee bar, lounge & recreation club, Co-working / reading spaces, 1.7-acre shopping mall within the development, Borehole water + purification system, Full backup generator, High-speed lifts, 24/7 security with CCTV surveillance, Prime Location Advantages, Living at A-One Pandora places you minutes away from:, Sarit Centre & Westgate Mall, Top international schools, Leading hospitals & medical centres, Restaurants, cafés & nightlife hubs, Easy access to CBD, Riverside & Parklands, ? Perfect for:, Airbnb investment, Families seeking modern gated living, Buyers targeting strong property appreciation"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-syokimau-116922740,Syokimau,2,2,98 m²,KSh 7 800 000,Apartment / Flat,13-Feb-26,"•	Olympic-Size Swimming Pool, •	Rooftop Café Lounge, •	Equipped Gym & Children’s Play Area, •	Backup Generator, Borehole & Supermarket, Completion: December 2025, Whether you’re buying for Yourself or Investing in Rental Income, these apartments in Syokimau offer unbeatable value."
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116858289,Westlands,1,1,67 m²,KSh 9 000 000,Apartment / Flat,28-Jan-26,"Kids Play Area, High-Speed Lifts, Fully Equipped Gym, Swimming Pool, Power Back-up Generator, CCTV Surveillance"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116924275,Kilimani,2,2,96 m²,KSh 10 550 000,Apartment / Flat,14-Feb-26,"68 Sqm at KShs. 7.15 Million, 94 Sqm at KShs. 10.3 Million - Master Ensuite, 96 Sqm at KShs. 10.55 Million - Master Ensuite, 100 Sqm at KShs. 11 Million - Master Ensuite, 135 Sqm at KShs. 14.8 Million - Two Ensuite, 173 Sqm at KShs. 18.9 Million - All Ensuite Plus Dsq"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116867801,Westlands,3,4,198 m²,KSh 22 550 000,Apartment / Flat,30-Jan-26,"Kids Play Area, High-Speed Lifts, Fully Equipped Gym, Swimming Pool, Power Back-up Generator, CCTV Surveillance"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116916283,Westlands,3,2,400 m²,KSh 19 000 000,Apartment / Flat,12-Feb-26,"Reliable borehole water supply, Fully equipped modern gym, High-speed lifts, 24-hour CCTV surveillance, Full backup generator, Children’s play zone, Heated swimming pool, Steam and sauna facilities, On-site restaurant and café, Elegant lounge for social or business gatherings"
Apartment / Flat,https://www.property24.co.ke/apartment-flat-for-sale-in-kilimani-116854271,Kilimani,3,1,45 m²,KSh 5 500 000,Apartment / Flat,28-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116869448,Kilimani,2,2,122 m²,KSh 15 600 000,Apartment / Flat,01-Feb-26,"# 10 High-Speed Elevators, # Events & Community Center, # Kids’ Play Zone with Cycling Track, # Heated Swimming Pool for all-season relaxation, # Fully Equipped Gym for active living, # CCTV Surveillance & 24/7 Security with Intercom access, # Reliable Borehole & County Water Connection, # Elegant Light Fixtures & Large Windows for ample natural light, # Modern Fitted Kitchens with premium appliances, # Extended Balconies offering scenic city views, Available Units & Prices, Why Invest Here?, High Rental Yields: Perfect for investors seeking strong returns through serviced or long-term rentals., Luxury Urban Living: Designed for those who value comfort, convenience, and a dynamic city lifestyle."
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-lavington-116933727,Lavington,3,4,100 m²,KSh 15 000 000,Apartment / Flat,17-Feb-26,"Residents enjoy access to a wide range of high-quality facilities that elevate everyday living:, Fully equipped gym and wellness centre, Swimming pool for leisure and fitness, Children’s play area in a safe environment, Reliable borehole water supply with an integrated purification system, High-speed lifts across all towers, CCTV surveillance and visual intercom systems, 24-hour professional security services, A modern lifestyle destination where convenience, comfort, and value come together seamlessly."
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116849034,Kilimani,1,1,55 m²,KSh 6 500 000,Apartment / Flat,26-Jan-26,"Elevators, Events Center, Kids Play Area, Lights Fixtures, Fitted Kitchens"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116849621,Westlands,1,1,68 m²,KSh 8 940 000,Apartment / Flat,27-Jan-26,"# High-Speed Lifts: 2 per block for seamless movement, # Heated Swimming Pool: Enjoy year-round luxury, # Kids’ Play Area: Safe and fun for children, # Café: Relax and unwind, # Yoga Studio: Wellness at your doorstep, # CCTV Surveillance: 24/7 security monitoring, # Water Borehole: Reliable water supply, # Mini Shop: Convenience within the residence, # Control Room: Enhanced security and monitoring, # Modern, High-Quality Finishing: Crafted for luxury, Seamlessly blends luxury, convenience, and an unbeatable location., Secure your unit today! Completion Date: Q3 2027, PAYMENT"
4 Bedroom House,https://www.property24.co.ke/4-bedroom-house-for-sale-in-runda-116876666,Runda,4,5,300 m²,KSh 35 000 000,House,03-Feb-26,?? Book a viewing today and take the first step toward living the life you deserve.
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116911062,Westlands,2,2,198 m²,KSh 12 850 000,Apartment / Flat,11-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116849042,Kilimani,1,1,60 m²,KSh 6 900 000,Apartment / Flat,26-Jan-26,"Elevators, Events Center, Kids Play Area, Lights Fixtures, Fitted Kitchens"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116869454,Kilimani,3,4,182 m²,KSh 24 000 000,Apartment / Flat,01-Feb-26,"# 10 High-Speed Elevators, # Events & Community Center, # Kids’ Play Zone with Cycling Track, # Heated Swimming Pool for all-season relaxation, # Fully Equipped Gym for active living, # CCTV Surveillance & 24/7 Security with Intercom access, # Reliable Borehole & County Water Connection, # Elegant Light Fixtures & Large Windows for ample natural light, # Modern Fitted Kitchens with premium appliances, # Extended Balconies offering scenic city views, Available Units & Prices, Why Invest Here?, High Rental Yields: Perfect for investors seeking strong returns through serviced or long-term rentals., Luxury Urban Living: Designed for those who value comfort, convenience, and a dynamic city lifestyle."
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116858487,Westlands,3,4,198 m²,KSh 22 550 000,Apartment / Flat,28-Jan-26,"Kids Play Area, High-Speed Lifts, Fully Equipped Gym, Swimming Pool, Power Back-up Generator, CCTV Surveillance"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116842515,Westlands,3,4.5,155 m²,KSh 24 600 000,Apartment / Flat,24-Jan-26,"400 m² Fully Equipped Gym, 1.7-Acre Shopping Mall, Heated Indoor & Outdoor Swimming Pool, Indoor & Outdoor Kids’ Playgrounds, Recreation Club, Yoga Room, Reading Lounge & Co-working Space, Coffee Bar, 24-hour Security & CCTV, Borehole Water with Purifier, Full Backup Generator"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116841555,Westlands,1,1,70 m²,KSh 9 200 000,Apartment / Flat,24-Jan-26,"Kids Play Area, High-Speed Lifts, Fully Equipped Gym, Swimming Pool, Power Back-up Generator, CCTV Surveillance"
5 Bedroom House,https://www.property24.co.ke/5-bedroom-house-for-sale-in-muthaiga-116874128,Muthaiga,5,5,400 m²,KSh 104 900 000,House,02-Feb-26,"?? Secure gated community, ?? 24/7 security, ?? Why This Property?, Prime Muthaiga land, generous acreage, strong redevelopment potential, and a rare price point for the location., ?? DM for more details or to schedule a private viewing."
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116842003,Westlands,1,1,58 m²,KSh 8 100 000,Apartment / Flat,24-Jan-26,"Rooftop Swimming Pool with Panoramic Views, State-of-the-Art Gym with 360° Glass Windows, Rooftop Coffee Bar & BBQ Area, Children’s Play Area, High-Security System: CCTV, Intercom, Electric Fence, 24/7 Manned Security, Borehole & Backup Generator, On-Site Laundry Mat, Walking Distance to Major Business Hubs, Malls, Dining, Hospitals, and Schools, Why Oak West Residency?, Elegant Modern Architecture with Functional Layouts, Excellent Rental Yields & Capital Appreciation Potential, Ideal for Professionals, Expatriates & Families, Book Your Unit Today!, Call or WhatsApp: +254 721 514314"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116897401,Westlands,3,4,178 m²,KSh 22 200 000,Apartment / Flat,07-Feb-26,"Luckinn Ivy Residence offers a comprehensive lifestyle experience with resort-style facilities designed for comfort, leisure, and convenience:, Wellness & Social, Heated swimming pool for recreation and relaxation, Fully equipped gym with modern fitness equipment, Children’s play area and leisure space, Coffee bar, lounge & clubhouse — perfect for socialising, Work & Convenience, Office and co-working spaces for remote work or meetings, Security & Utilities, 24/7 security with CCTV and controlled access, Backup generator and borehole water supply, High-speed elevators, Perfectly positioned for easy access to:, Top business hubs and corporate offices, Shopping malls such as Westgate and Sarit Centre"
5 Bedroom Townhouse,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-lavington-116870589,Lavington,5,6,6 m²,KSh 155 000 000,Townhouse,02-Feb-26,Asking Price: KSh 155 million.
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116843253,Kilimani,2,2,117 m²,KSh 14 700 000,Apartment / Flat,25-Jan-26,"# 10 High-Speed Elevators, # Events & Community Center, # Kids’ Play Zone with Cycling Track, # Heated Swimming Pool for all-season relaxation, # Fully Equipped Gym for active living, # CCTV Surveillance & 24/7 Security with Intercom access, # Reliable Borehole & County Water Connection, # Elegant Light Fixtures & Large Windows for ample natural light, # Modern Fitted Kitchens with premium appliances, # Extended Balconies offering scenic city views, Available Units & Prices, Why Invest Here?, High Rental Yields: Perfect for investors seeking strong returns through serviced or long-term rentals., Luxury Urban Living: Designed for those who value comfort, convenience, and a dynamic city lifestyle."
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-riverside-116837254,Riverside,1,1,60 m²,KSh 7 200 000,Apartment / Flat,23-Jan-26,"1 Bedroom (60–81SQM) – From KSh 7.2M to 10.92M, 2 Bedroom – Block C (84SQM) – From KSh 10.08M to 10.92M, 2 Bedroom – Block B (114–117SQM) – From KSh 13.68M to 15.21M, 2 Bedroom + DSQ – Block A (129SQM) – From KSh 15.61M to 16.77M, 3 Bedroom – Block A (174SQM) – From KSh 21.05M to 22.62M, Swimming pool, Fully equipped gym, Backup generator, Borehole & reliable water supply, High-speed lifts, 24/7 security, CCTV & access control, Children’s play area, Modern kitchen & premium finishes, Green landscaped spaces, Residents’ lounge / social areas"
