Title,Location,Bedrooms,Bathrooms,House Size,Price,Property Type,Listing Date,Amenities,size_value,size_unit,size_sqft,Price_per_sqft,Amenities_count,Listing Month,Listing Month Name,Listing Year,distance_to_cbd_km
4 Bedroom House,kasarani,4.0,4.0,150 m²,12000000,House,2026-02-18,none,150.0,m²,1614.58,7432.27,1,2,February,2026,10.056766256707066
2 Bedroom Apartment / Flat,westlands,2.0,2.0,85 m²,12910000,Apartment / Flat,2025-11-25,"400 m fully equipped gym, 17acre shopping mall, heated indoor  outdoor swimming pool, indoor  outdoor kids playgrounds, recreation club, yoga room, reading lounge  coworking space, coffee bar, 24hour security  cctv, borehole water with purifier, full backup generator",85.0,m²,914.93,14110.37,11,11,November,2025,5.654414563146205
3 Bedroom Apartment / Flat,kileleshwa,3.0,4.0,88 m²,20000000,Apartment / Flat,2026-02-21,none,88.0,m²,947.22,21114.42,1,2,February,2026,3.997772791838036
3 Bedroom Apartment / Flat,westlands,3.0,4.0,141 m²,18100000,Apartment / Flat,2025-11-24,none,141.0,m²,1517.71,11925.86,1,11,November,2025,5.654414563146205
4 Bedroom Apartment / Flat,westlands,4.0,5.5,213 m²,31000000,Apartment / Flat,2025-11-25,"400 m fully equipped gym, 17acre shopping mall, heated indoor  outdoor swimming pool, indoor  outdoor kids playgrounds, recreation club, yoga room, reading lounge  coworking space, coffee bar, 24hour security  cctv, borehole water with purifier, full backup generator",213.0,m²,2292.71,13521.12,11,11,November,2025,5.654414563146205
1 Bedroom Apartment / Flat,kilimani,1.0,1.0,60 m²,6500000,Apartment / Flat,2025-11-27,"elevators, events center, kids play area, fully equipped gym, rooftop terrace for parties, intercom, borehole, lights fixtures, fitted kitchens, rooftop lounge and restaurant, whether youre an investor looking for an excellent opportunity or a resident seeking a modern, comfortable abode, our apartments are designed to cater to your unique desires, property type, price are kshs 65 m when unfurnished and 75 m furnished with an area of 60 sqm",60.0,m²,645.83,10064.57,15,11,November,2025,4.936608046681177
3 Bedroom Apartment / Flat,westlands,3.0,3.0,156 m²,21000000,Apartment / Flat,2025-12-15,none,156.0,m²,1679.17,12506.18,1,12,December,2025,5.654414563146205
1 Bedroom Apartment / Flat,westlands,1.0,1.0,56 m²,6830000,Apartment / Flat,2025-11-28,"hotelinspired design and finishes, modern gym  wellness area, rooftop pool  leisure deck, caf lounge and coworking spaces, 247 security  cctv surveillance",56.0,m²,602.78,11330.83,5,11,November,2025,5.654414563146205
4 Bedroom Apartment / Flat,westlands,4.0,4.0,190 m²,40000000,Apartment / Flat,2026-02-17,none,190.0,m²,2045.14,19558.56,1,2,February,2026,5.654414563146205
2 Bedroom Apartment / Flat,lavington,2.0,1.0,68 m²,6800000,Apartment / Flat,2026-01-07,none,68.0,m²,731.95,9290.25,1,1,January,2026,5.324669724932856
2 Bedroom Apartment / Flat,syokimau,2.0,2.0,99 m²,7500000,Apartment / Flat,2026-01-31,none,99.0,m²,1065.63,7038.09,1,1,January,2026,13.59692712262327
1 Bedroom Apartment / Flat,westlands,1.0,1.0,70 m²,9200000,Apartment / Flat,2026-01-30,"kids play area, highspeed lifts, fully equipped gym, swimming pool, power backup generator, cctv surveillance                                                                                                          callwhatsapp 0790149753",70.0,m²,753.47,12210.17,6,1,January,2026,5.654414563146205
2 Bedroom Apartment / Flat,kileleshwa,2.0,2.0,111 m²,10400000,Apartment / Flat,2025-11-24,"swimming pool, fully equipped gym  yoga room, kids play area, coffee bar  restaurant, massage room, borehole  full backup generator, grand doubleheight lobby with concierge, highspeed lifts and intercom system, yaya centre  5 minutes, lavington mall  6 minutes, riverside drive  8 minutes, leading international schools, hospitals, and fine dining restaurants nearby",111.0,m²,1194.79,8704.46,14,11,November,2025,3.997772791838036
5 Bedroom Apartment / Flat,kilimani,5.0,5.0,302 m²,33500000,Apartment / Flat,2025-12-22,"quick connectivity to ngong road and argwings kodhek road, surrounded by top restaurants, cafs, gyms, and shopping outlets, set in a secure, serene, and wellserved environment ideal for modern city living, , features  highlights, all bedrooms ensuite, spacious lounge  dining areas, modern openplan kitchens with highquality fittings, private balconies with scenic city views, backup generator  borehole water supply, 247 security  cctv surveillance, gym, rooftop terrace, and childrens play area",302.0,m²,3250.7,10305.47,19,12,December,2025,4.936608046681177
1 Bedroom Apartment / Flat,kileleshwa,1.0,1.0,65 m²,7700000,Apartment / Flat,2026-01-27,none,65.0,m²,699.65,11005.5,1,1,January,2026,3.997772791838036
2 Bedroom Apartment / Flat,kilimani,2.0,2.0,114 m²,6500000,Apartment / Flat,2026-02-06,none,114.0,m²,1227.08,5297.13,1,2,February,2026,4.936608046681177
2 Bedroom Apartment / Flat,riverside,2.0,2.0,124.33 m²,13700000,Apartment / Flat,2026-02-15,none,124.33,m²,1338.28,10237.02,1,2,February,2026,5.982157225591536
4 Bedroom Townhouse,loresho,4.0,4.0,200 m²,40000000,Townhouse,2025-12-31,none,200.0,m²,2152.78,18580.63,1,12,December,2025,8.39107347067316
2 Bedroom Apartment / Flat,kileleshwa,2.0,2.0,68 m²,12000000,Apartment / Flat,2026-02-17,none,68.0,m²,731.95,16394.56,1,2,February,2026,3.997772791838036
3 Bedroom Apartment / Flat,syokimau,3.0,3.0,143 m²,12000000,Apartment / Flat,2025-12-07,none,143.0,m²,1539.24,7796.06,1,12,December,2025,13.59692712262327
1 Bedroom Apartment / Flat,riverside,1.0,1.0,70 m²,6800000,Apartment / Flat,2026-02-03,none,70.0,m²,753.47,9024.91,1,2,February,2026,5.982157225591536
5 Bedroom Apartment / Flat,kilimani,5.0,5.0,302 m²,33500000,Apartment / Flat,2025-12-22,"quick connectivity to ngong road and argwings kodhek road, surrounded by top restaurants, cafs, gyms, and shopping outlets, set in a secure, serene, and wellserved environment ideal for modern city living, , features  highlights, all bedrooms ensuite, spacious lounge  dining areas, modern openplan kitchens with highquality fittings, private balconies with scenic city views, backup generator  borehole water supply, 247 security  cctv surveillance, gym, rooftop terrace, and childrens play area",302.0,m²,3250.7,10305.47,19,12,December,2025,4.936608046681177
3 Bedroom Apartment / Flat,south c,3.0,2.0,102 m²,13400000,Apartment / Flat,2026-02-15,none,102.0,m²,1097.92,12204.9,1,2,February,2026,4.2061197099704435
2 Bedroom Apartment / Flat,kileleshwa,2.0,2.0,110 m²,10500000,Apartment / Flat,2026-02-04,none,110.0,m²,1184.03,8868.02,1,2,February,2026,3.997772791838036
5 Bedroom Apartment / Flat,kileleshwa,5.0,6.0,298 m²,28000000,Apartment / Flat,2026-01-29,none,298.0,m²,3207.64,8729.16,1,1,January,2026,3.997772791838036
4 Bedroom Apartment / Flat,westlands,4.0,5.0,112 m²,27500000,Apartment / Flat,2025-11-20,none,112.0,m²,1205.56,22810.98,1,11,November,2025,5.654414563146205
2 Bedroom Apartment / Flat,kilimani,2.0,2.0,85 m²,10300000,Apartment / Flat,2025-11-20,none,85.0,m²,914.93,11257.69,1,11,November,2025,4.936608046681177
1 Bedroom Apartment / Flat,kileleshwa,1.0,1.0,73 m²,4200000,Apartment / Flat,2026-01-26,none,73.0,m²,785.76,5345.14,1,1,January,2026,3.997772791838036
2 Bedroom Apartment / Flat,westlands,2.0,2.0,86 m²,11700000,Apartment / Flat,2026-01-30,none,86.0,m²,925.7,12639.08,1,1,January,2026,5.654414563146205
2 Bedroom Apartment / Flat,westlands,2.0,2.0,94 m²,12600000,Apartment / Flat,2025-11-21,none,94.0,m²,1011.81,12452.93,1,11,November,2025,5.654414563146205
2 Bedroom Apartment / Flat,kileleshwa,2.0,2.0,85 m²,6820000,Apartment / Flat,2026-01-26,none,85.0,m²,914.93,7454.12,1,1,January,2026,3.997772791838036
4 Bedroom Apartment / Flat,kileleshwa,4.0,5.0,270 m²,25400000,Apartment / Flat,2026-01-29,"luxury sauna  spa, fully equipped gym, mini mart, small golfingpractice area, onsite laundry shop, full backup generator, highspeed elevators, borehole  reliable water supply, 247 security  controlled access, prime location  kileleshwa, along vihiga road, close to schools, malls, hospitals  lifestyle hubs, price type, cash purchase only  ksh 254m, contact for viewing  booking, 0748158876",270.0,m²,2906.25,8739.78,18,1,January,2026,3.997772791838036
2 Bedroom Apartment / Flat,kilimani,2.0,2.0,80 m²,8500000,Apartment / Flat,2025-11-19,none,80.0,m²,861.11,9870.98,1,11,November,2025,4.936608046681177
1 Bedroom Apartment / Flat,kilimani,1.0,1.0,60 m²,6300000,Apartment / Flat,2026-02-08,none,60.0,m²,645.83,9754.89,1,2,February,2026,4.936608046681177
2 Bedroom Apartment / Flat,westlands,2.0,2.0,109 m²,13800000,Apartment / Flat,2025-11-25,"heated rooftop infinity pool with skyline  forest views, aerial gym, yoga room  game room, mini mart, caf, rooftop bar, and lounge, concierge, 247 cctv surveillance  full backup generator, 10 highspeed elevators, rooftop experiences, including mini golf, cinema, and padel court, studios  48 sqm, 1bedroom units, 1bedroom  study  87 sqm, 2bedroom units, 3bedroom  dsq units, penthouses, available on request",109.0,m²,1173.27,11762.0,21,11,November,2025,5.654414563146205
3 Bedroom Apartment / Flat,kileleshwa,3.0,3.0,234 m²,23000000,Apartment / Flat,2026-01-28,"swimming pool, management office, fully equipped gymnasium, sauna, steam bath and clubhouse, perimeter wall with an electric and galvanized razor wire fence, highspeed lifts and highquality finishing, inbuilt television points, solar water heating system, high quality sanitary ware, piped and borehole water supply, 247 security system dstv, cctv, intercom, controlled and gated community, standby generator, a boundary wall with electric fence and gates, prices  from 23 m to 25 m",234.0,m²,2518.75,9131.51,18,1,January,2026,3.997772791838036
3 Bedroom Apartment / Flat,westlands,3.0,4.5,158 m²,19800000,Apartment / Flat,2025-11-25,"heated rooftop infinity pool with skyline  forest views, aerial gym, yoga room  game room, mini mart, caf, rooftop bar, and lounge, concierge, 247 cctv surveillance  full backup generator, 10 highspeed elevators, rooftop experiences, including mini golf, cinema, and padel court, studios  48 sqm, 1bedroom units, 1bedroom  study  87 sqm, 2bedroom units, 3bedroom  dsq units, penthouses, available on request",158.0,m²,1700.7,11642.26,21,11,November,2025,5.654414563146205
3 Bedroom House,kiambu road,3.0,2.0,150 m²,27000000,House,2026-02-10,none,150.0,m²,1614.58,16722.62,1,2,February,2026,6.716360464705247
Apartment / Flat,riruta,3.0,1.0,23 m²,2300000,Apartment / Flat,2026-01-29,none,23.0,m²,247.57,9290.3,1,1,January,2026,9.761538117455226
2 Bedroom Apartment / Flat,lavington,2.0,1.0,70 m²,7000000,Apartment / Flat,2025-12-05,none,70.0,m²,753.47,9290.35,1,12,December,2025,5.324669724932856
2 Bedroom Apartment / Flat,westlands,2.0,3.0,131 m²,15500000,Apartment / Flat,2025-12-02,"fully equipped modern gym, swimming pool for relaxation and recreation, spacious balconies for fresh air and outdoor living, highspeed elevators for everyday convenience, cctv surveillance and intercom systems for security, prices and variety units, prime location, sarit centre  5 minutes, westgate mall  6 minutes, chiromo lane medical centre  8 minutes",131.0,m²,1410.07,10992.36,10,12,December,2025,5.654414563146205
4 Bedroom Apartment / Flat,lavington,4.0,4.0,130 m²,13000000,Apartment / Flat,2025-12-03,none,130.0,m²,1399.31,9290.29,1,12,December,2025,5.324669724932856
1 Bedroom Apartment / Flat,kilimani,1.0,1.0,60 m²,6000000,Apartment / Flat,2026-01-28,none,60.0,m²,645.83,9290.37,1,1,January,2026,4.936608046681177
4 Bedroom Apartment / Flat,kileleshwa,4.0,5.5,196 m²,18000000,Apartment / Flat,2025-12-01,"outdoor swimming pool, fully equipped gym, sauna  steam room, yoga room, childrens play area, private cinema room, games room, cafeteria  restaurant, health centre for residents, mini golf course, tennis  badminton courts, borehole water supply, backup generator, highspeed lifts, topnotch finishes, for inquiries or viewing arrangements, contact  whatsapp 254 721 514 314",196.0,m²,2109.72,8531.94,17,12,December,2025,3.997772791838036
2 Bedroom Apartment / Flat,kileleshwa,2.0,1.0,70 m²,7000000,Apartment / Flat,2025-12-05,none,70.0,m²,753.47,9290.35,1,12,December,2025,3.997772791838036
2 Bedroom Apartment / Flat,south c,2.0,2.0,77 m²,8400000,Apartment / Flat,2026-01-18,none,77.0,m²,828.82,10134.89,1,1,January,2026,4.2061197099704435
Vacant Land / Plot,karen,2.0,2.0,2 000 m²,37000000,Vacant Land / Plot,2026-01-28,none,2.0,m²,21.53,1718532.28,1,1,January,2026,14.19890831682088
4 Bedroom Apartment / Flat,kilimani,4.0,4.0,130 m²,13000000,Apartment / Flat,2025-12-03,none,130.0,m²,1399.31,9290.29,1,12,December,2025,4.936608046681177
2 Bedroom Apartment / Flat,kileleshwa,2.0,2.0,136 m²,12800000,Apartment / Flat,2026-01-27,call  whatsapp 0748158876,136.0,m²,1463.89,8743.83,1,1,January,2026,3.997772791838036
2 Bedroom Apartment / Flat,kileleshwa,2.0,2.0,128 m²,12000000,Apartment / Flat,2026-01-27,call  whatsapp 0748158876,128.0,m²,1377.78,8709.66,1,1,January,2026,3.997772791838036
2 Bedroom Apartment / Flat,westlands,2.0,2.0,105 m²,10500000,Apartment / Flat,2026-01-14,"designed to elevate everyday living, residents enjoy, investment highlights",105.0,m²,1130.21,9290.31,3,1,January,2026,5.654414563146205
2 Bedroom Apartment / Flat,westlands,2.0,3.0,145 m²,14000000,Apartment / Flat,2025-11-20,"highspeed lifts 2 per block for seamless movement, heated swimming pool enjoy yearround luxury, kids play area safe and fun for children, caf relax and unwind, yoga studio wellness at your doorstep, cctv surveillance 247 security monitoring, water borehole reliable water supply, mini shop convenience within the residence, control room enhanced security and monitoring, modern, highquality finishing crafted for luxury, seamlessly blends luxury, convenience, and an unbeatable location, secure your unit today completion date q3 2027, payment",145.0,m²,1560.77,8969.93,16,11,November,2025,5.654414563146205
3 Bedroom Townhouse,westlands,3.0,3.0,204 m²,23000000,Townhouse,2026-02-19,"cctv surveillance for enhanced security, borehole water supply, backup generator for common areas and apartments, site influence  location advantages, investment  lifestyle appeal",204.0,m²,2195.84,10474.35,5,2,February,2026,5.654414563146205
1 Bedroom Apartment / Flat,kileleshwa,1.0,1.0,95 m²,5850000,Apartment / Flat,2026-02-19,none,95.0,m²,1022.57,5720.88,1,2,February,2026,3.997772791838036
2 Bedroom Apartment / Flat,kileleshwa,2.0,2.0,130 m²,10000000,Apartment / Flat,2026-02-19,none,130.0,m²,1399.31,7146.38,1,2,February,2026,3.997772791838036
2 Bedroom Apartment / Flat,kilimani,2.0,2.0,112 m²,11500000,Apartment / Flat,2025-11-19,"elevators, events center, kids play area, lights fixtures, fitted kitchens",112.0,m²,1205.56,9539.14,5,11,November,2025,4.936608046681177
1 Bedroom Apartment / Flat,kileleshwa,1.0,1.0,58 m²,5800000,Apartment / Flat,2025-11-18,"58 sqm  ksh 58m, 64 sqm  ksh 63m, 66 sqm  ksh 65m, 82 sqm  ksh 82m, 111 sqm  ksh 104m, 119 sqm  ksh 112m, 128 sqm  ksh 125m, 135 sqm  ksh 127m, 136 sqm  ksh 128m, infinity swimming pool, fully equipped gym  yoga studio, kids play area, coffee bar, massage  wellness room, borehole  full backup generator, prime kileleshwa location, high rental demand  excellent roi, spacious layouts with elegant interiors, peaceful, green surroundings with easy city access",58.0,m²,624.31,9290.26,20,11,November,2025,3.997772791838036
2 Bedroom Apartment / Flat,riverside,2.0,2.0,109 m²,12700000,Apartment / Flat,2026-02-05,none,109.0,m²,1173.27,10824.45,1,2,February,2026,5.982157225591536
2 Bedroom Apartment / Flat,kilimani,2.0,2.0,104 m²,10000000,Apartment / Flat,2026-01-26,none,104.0,m²,1119.45,8932.96,1,1,January,2026,4.936608046681177
2 Bedroom Apartment / Flat,riverside,2.0,2.0,109 m²,12700000,Apartment / Flat,2026-01-31,none,109.0,m²,1173.27,10824.45,1,1,January,2026,5.982157225591536
2 Bedroom Apartment / Flat,westlands,2.0,2.0,130 m²,13800000,Apartment / Flat,2026-02-07,"residents enjoy seamless access to, top restaurants, cafes, and nightlife spots, international schools and medical facilities, gyms, wellness centers, and recreational spaces, major roads with easy access to cbd and gigiri, ideal for, investors targeting consistent rental returns, professionals looking for convenience and prestige, buyers seeking futureproof property in a prime location, get in touch today for pricing, floor plans, and investment projections, callwhatsapp 254 796 007 755",130.0,m²,1399.31,9862.0,17,2,February,2026,5.654414563146205
3 Bedroom Apartment / Flat,syokimau,3.0,3.0,143 m²,9700000,Apartment / Flat,2025-12-18,"large windows that allows alot of natural light in the spacious  rooms, spacious openclosed kitchen with ample storage  space, large wardrobe with enough  storage space for hishers, all the units comes with a balcony, high speed lifts two per floor, 2 boreholes, semi olympic size swimming pool with both the children and adults sections, kids play area, shopping complex, 24 hour manned security gate, cctv surveillance, among others, asking prices, a studio size is 38sqm selling at ksh 35m, b one bedroom size is 68sqm selling at ksh 55m, c two bedroom size is 109sqm selling at ksh 7m, dthree bedroom without dsq size is 143sqm selling  at ksh 97m, ethree bedroom with a dsq size is 155sqm selling  at ksh 11m, f four bedroom with a dsq size is 173sqm selling at ksh 135m, for viewing and more information callwhatsapp on 0724415336",143.0,m²,1539.24,6301.81,20,12,December,2025,13.59692712262327
4 Bedroom Apartment / Flat,kileleshwa,4.0,4.0,272 m²,28000000,Apartment / Flat,2026-01-28,none,272.0,m²,2927.78,9563.56,1,1,January,2026,3.997772791838036
2 Bedroom Apartment / Flat,westlands,2.0,2.0,83 m²,12100000,Apartment / Flat,2026-02-17,"experience elevated living with a curated selection of premium facilities, rooftop infinity pool with stunning city views, fully equipped modern gym, elegant lobby and welcoming waiting area, private spa and dedicated spa room, quiet library for work or relaxation, rooftop lounge and exclusive sky club bar, 270degree panoramic views, highspeed lifts, golf court for leisure and recreation",83.0,m²,893.4,13543.77,10,2,February,2026,5.654414563146205
Townhouse,runda,4.0,4.0,67 m²,48500000,Townhouse,2026-02-11,none,67.0,m²,721.18,67250.89,1,2,February,2026,7.1341334164838
3 Bedroom Apartment / Flat,westlands,3.0,2.0,60 m²,43000000,Apartment / Flat,2026-02-16,"payments, there are special discounts, 1 the cash buyers get 7 off",60.0,m²,645.83,66580.99,3,2,February,2026,5.654414563146205
1 Bedroom Apartment / Flat,westlands,1.0,1.0,58 m²,8700000,Apartment / Flat,2025-11-16,none,58.0,m²,624.31,13935.38,1,11,November,2025,5.654414563146205
3 Bedroom Apartment / Flat,kilimani,3.0,3.0,110 m²,11000000,Apartment / Flat,2025-12-22,none,110.0,m²,1184.03,9290.31,1,12,December,2025,4.936608046681177
3 Bedroom Apartment / Flat,kileleshwa,3.0,3.0,150 m²,30000000,Apartment / Flat,2026-01-08,none,150.0,m²,1614.58,18580.68,1,1,January,2026,3.997772791838036
1 Bedroom Apartment / Flat,westlands,1.0,1.0,85 m²,8700000,Apartment / Flat,2025-11-12,none,85.0,m²,914.93,9508.92,1,11,November,2025,5.654414563146205
2 Bedroom Apartment / Flat,kilimani,2.0,2.0,108 m²,10000000,Apartment / Flat,2026-01-25,none,108.0,m²,1162.5,8602.15,1,1,January,2026,4.936608046681177
1 Bedroom Apartment / Flat,mirema,1.0,1.0,85 m²,2100000,Apartment / Flat,2026-02-10,none,85.0,m²,914.93,2295.26,1,2,February,2026,10.697190847879673
4 Bedroom Townhouse,loresho,4.0,5.0,100 m²,30800000,Townhouse,2026-01-30,none,100.0,m²,1076.39,28614.16,1,1,January,2026,8.39107347067316
4 Bedroom Apartment / Flat,kileleshwa,4.0,4.0,260 m²,24000000,Apartment / Flat,2026-01-25,none,260.0,m²,2798.61,8575.69,1,1,January,2026,3.997772791838036
2 Bedroom Apartment / Flat,kilimani,2.0,2.0,88 m²,10000000,Apartment / Flat,2025-11-18,"minutes from top schools, hospitals, malls, and transport links, lifestyle amenities, wellness yoga studio, gym, jacuzzi, spa  sauna, entertainment cinema, sky bar  lounge, infinity swimming pool, family spaces kids playroom, , productivity coworking spaces, creative room, commercial laundry area, iconic design, striking curved glass faade, suspended rooms  floortoceiling windows, panoramic city views and abundant natural light, smart, flexible layouts tailored for modern living, floors 13 from kes 62m  70m, floors 45 from kes 65m  73m, floors 610 from kes 67m  75m, floors 1115 from kes 69m  77m, floors 1619 from kes 71m  79m, floors 13 from kes 66m  74m, floors 45 from kes 70m  78m, floors 69 from kes 72m  80m, floors 1316 from kes 74m  82m, floors 13 from kes 100m  108m, floors 45 from kes 102m  110m, floors 610 from kes 104m  112m, floors 1115 from kes 106m  114m, floors 1619 from kes 108m  116m, floors 1012 from kes 123m  129m, floors 1719 from kes 125m  132m, floors 13 from kes 109m  122m, floors 45 from kes 114m  124m, floors 610 from kes 116m  126m, floors 1115 from kes 118m  128m, floors 1619 from kes 121m  130m, floors 13 from kes 122m  134m, floors 45 from kes 124m  136m, floors 610 from kes 126m  138m, floors 1115 from kes 128m  140m, floors 1619 from kes 130m  142m",88.0,m²,947.22,10557.21,49,11,November,2025,4.936608046681177
1.5 Bedroom Apartment / Flat,kilimani,1.5,1.0,78 m²,8550000,Apartment / Flat,2025-11-18,"yaya centre, prestige plaza, carrefour, st nicholas school, light academy, casa vera lounge, frangos bar, the monarch hotel",78.0,m²,839.58,10183.66,8,11,November,2025,4.936608046681177
2 Bedroom Apartment / Flat,langata,2.0,2.0,5 m²,10500000,Apartment / Flat,2026-02-19,none,5.0,m²,53.82,195094.76,1,2,February,2026,9.94999663542341
4 Bedroom Apartment / Flat,westlands,4.0,5.0,172 m²,31000000,Apartment / Flat,2025-11-12,none,172.0,m²,1851.39,16744.18,1,11,November,2025,5.654414563146205
2 Bedroom Apartment / Flat,kilimani,2.0,2.0,108 m²,11400000,Apartment / Flat,2026-01-24,none,108.0,m²,1162.5,9806.45,1,1,January,2026,4.936608046681177
